# Voltage               Time
5.903461999999999946e-03    0.000000000000000000e+00
9.117401000000000671e-03    1.071288999999999936e+00
8.509776999999999619e-03    2.142577999999999872e+00
6.685970000000000281e-03    3.213867000000000029e+00
6.220614000000000178e-03    4.285155999999999743e+00
7.604813999999999671e-03    5.356444999999999901e+00
1.470950000000000035e-02    6.427734000000000059e+00
3.049079000000000025e-02    7.499023000000000216e+00
5.497835000000000222e-02    8.569335999999999842e+00
9.009757999999999656e-02    9.640625000000000000e+00
1.431147000000000113e-01    1.071190999999999960e+01
2.050572999999999979e-01    1.178320000000000078e+01
2.816998000000000002e-01    1.285449000000000019e+01
3.664299999999999780e-01    1.392577999999999960e+01
5.100472999999999812e-01    1.499707000000000079e+01
5.509865999999999930e-01    1.606835999999999842e+01
5.976886999999999617e-01    1.713867000000000118e+01
6.483879000000000170e-01    1.820995999999999881e+01
7.195616000000000234e-01    1.928125000000000000e+01
7.943772999999999529e-01    2.035254000000000119e+01
8.846722999999999670e-01    2.142382999999999882e+01
9.802016999999999536e-01    2.249512000000000000e+01
1.085134999999999961e+00    2.356641000000000119e+01
1.188236000000000070e+00    2.463769999999999882e+01
1.299971999999999905e+00    2.570898000000000039e+01
1.416353999999999891e+00    2.678027000000000157e+01
1.533644999999999925e+00    2.785155999999999921e+01
1.662074000000000051e+00    2.892285000000000039e+01
1.790464999999999973e+00    2.999414000000000158e+01
1.918158999999999947e+00    3.106445000000000078e+01
2.042124999999999968e+00    3.213573999999999842e+01
2.168254000000000126e+00    3.320703000000000316e+01
2.284924000000000177e+00    3.427832000000000079e+01
2.404666999999999888e+00    3.534960999999999842e+01
2.527693000000000190e+00    3.642090000000000316e+01
2.652249999999999996e+00    3.749219000000000079e+01
2.775914000000000215e+00    3.856347999999999843e+01
2.897892999999999830e+00    3.963477000000000317e+01
3.022212999999999816e+00    4.070604999999999762e+01
3.148277000000000214e+00    4.177734000000000236e+01
3.275176999999999783e+00    4.284863000000000000e+01
3.399786000000000197e+00    4.391991999999999763e+01
3.524909000000000070e+00    4.499121000000000237e+01
3.646450999999999887e+00    4.606250000000000000e+01
3.770395000000000163e+00    4.713378999999999763e+01
3.894518999999999842e+00    4.820409999999999684e+01
4.020955999999999975e+00    4.927539000000000158e+01
4.152269000000000432e+00    5.034667999999999921e+01
4.283591999999999622e+00    5.141796999999999684e+01
4.415544999999999831e+00    5.248926000000000158e+01
4.550754999999999661e+00    5.356054999999999922e+01
4.677285999999999611e+00    5.463183999999999685e+01
4.805284000000000333e+00    5.570313000000000159e+01
4.932330999999999577e+00    5.677441000000000315e+01
5.059124999999999872e+00    5.784570000000000078e+01
5.183720000000000105e+00    5.891698999999999842e+01
5.306817999999999813e+00    5.998828000000000316e+01
5.425970000000000404e+00    6.105957000000000079e+01
5.544722000000000151e+00    6.212988000000000000e+01
5.660893999999999870e+00    6.320116999999999763e+01
5.777922000000000224e+00    6.427245999999999526e+01
5.892263999999999946e+00    6.534375000000000000e+01
6.007960999999999885e+00    6.641504000000000474e+01
6.121910999999999881e+00    6.748632999999999527e+01
6.234894999999999854e+00    6.855762000000000000e+01
6.347051000000000442e+00    6.962891000000000474e+01
6.457628999999999841e+00    7.070019999999999527e+01
6.567128000000000299e+00    7.177147999999999683e+01
6.677357999999999905e+00    7.284277000000000157e+01
6.784745000000000026e+00    7.391406000000000631e+01
6.891535000000000188e+00    7.498534999999999684e+01
6.996986999999999846e+00    7.605664000000000158e+01
7.098493000000000386e+00    7.712793000000000632e+01
7.199004000000000403e+00    7.819921999999999684e+01
7.296801999999999566e+00    7.927051000000000158e+01
7.396613000000000326e+00    8.034081999999999368e+01
7.496857999999999578e+00    8.141210999999999842e+01
7.597247999999999557e+00    8.248340000000000316e+01
7.698901000000000217e+00    8.355468999999999369e+01
7.804581999999999908e+00    8.462597999999999843e+01
7.906843000000000288e+00    8.569727000000000317e+01
8.013517000000000223e+00    8.676855000000000473e+01
8.118095999999999535e+00    8.783983999999999526e+01
8.224465000000000359e+00    8.891113000000000000e+01
8.329053999999999292e+00    8.998242000000000473e+01
8.433377000000000123e+00    9.105370999999999526e+01
8.535182000000000713e+00    9.212402000000000157e+01
8.636431999999999221e+00    9.319531000000000631e+01
8.735689999999999955e+00    9.426659999999999684e+01
8.835706000000000060e+00    9.533789000000000158e+01
8.935311999999999699e+00    9.640918000000000632e+01
9.028841999999999146e+00    9.748046999999999684e+01
9.122813999999999979e+00    9.855176000000000158e+01
9.215528000000000830e+00    9.962305000000000632e+01
9.308108000000000715e+00    1.006942999999999984e+02
9.395535000000000636e+00    1.017656000000000063e+02
9.486223000000000738e+00    1.028369000000000000e+02
9.575008000000000408e+00    1.039081999999999937e+02
9.664092999999999378e+00    1.049795000000000016e+02
9.750142999999999560e+00    1.060507999999999953e+02
9.839041999999999177e+00    1.071221000000000032e+02
9.926249999999999574e+00    1.081933999999999969e+02
9.996655000000000513e+00    1.092646000000000015e+02
9.997090999999999283e+00    1.103358999999999952e+02
9.996624000000000621e+00    1.114061999999999983e+02
9.996109999999999829e+00    1.124775000000000063e+02
9.997522000000000020e+00    1.135488000000000000e+02
9.996779000000000082e+00    1.146200999999999937e+02
9.995872000000000313e+00    1.156914000000000016e+02
9.995089999999999364e+00    1.167626999999999953e+02
9.994358999999999327e+00    1.178340000000000032e+02
9.971942999999999557e+00    1.189052999999999969e+02
9.979345000000000354e+00    1.199766000000000048e+02
9.953979999999999606e+00    1.210478999999999985e+02
