# Voltage               Time
-1.953457000000000110e-01    0.000000000000000000e+00
-9.784868999999999858e-03    1.071288999999999936e+00
-8.049473999999999518e-02    2.142577999999999872e+00
2.369631000000000168e-02    3.213867000000000029e+00
-1.366104999999999958e-01    4.285155999999999743e+00
-1.236339999999999939e-01    5.356444999999999901e+00
-2.301086999999999994e-01    6.427734000000000059e+00
-3.251441999999999943e-01    7.498046999999999684e+00
-4.328759999999999830e-01    8.569335999999999842e+00
-5.226541999999999577e-01    9.640625000000000000e+00
-5.971828999999999610e-01    1.071190999999999960e+01
-5.975937999999999528e-01    1.178320000000000078e+01
-6.698654000000000552e-01    1.285449000000000019e+01
-8.072534999999999572e-01    1.392577999999999960e+01
-8.277109999999999745e-01    1.499707000000000079e+01
-8.256814000000000098e-01    1.606835999999999842e+01
-7.741723000000000354e-01    1.713964999999999961e+01
-6.467528000000000166e-01    1.821094000000000079e+01
-5.789170000000000149e-01    1.928222999999999843e+01
-5.516965000000000341e-01    2.035351999999999961e+01
-5.239234999999999864e-01    2.142480000000000118e+01
-5.430616999999999805e-01    2.249608999999999881e+01
-4.970357000000000247e-01    2.356738000000000000e+01
-5.439140000000000086e-01    2.463867000000000118e+01
-5.228580000000000449e-01    2.570995999999999881e+01
-5.259268000000000276e-01    2.678125000000000000e+01
-5.218635999999999830e-01    2.785254000000000119e+01
-5.096777999999999587e-01    2.892382999999999882e+01
-4.976426999999999934e-01    2.999512000000000000e+01
-4.700568999999999997e-01    3.106542999999999921e+01
-4.595695000000000197e-01    3.213671999999999684e+01
-4.324836000000000236e-01    3.320801000000000158e+01
-3.913505999999999929e-01    3.427929999999999922e+01
-3.289891999999999816e-01    3.535058999999999685e+01
-2.508198999999999845e-01    3.642186999999999841e+01
-1.579305000000000014e-01    3.749316000000000315e+01
-6.420214999999999950e-02    3.856445000000000078e+01
2.538183000000000106e-02    3.963573999999999842e+01
1.148163999999999990e-01    4.070703000000000316e+01
2.037303000000000031e-01    4.177832000000000079e+01
2.885053000000000201e-01    4.284863000000000000e+01
3.706038999999999861e-01    4.391991999999999763e+01
4.520778999999999770e-01    4.499121000000000237e+01
5.334370000000000500e-01    4.606250000000000000e+01
6.184747999999999912e-01    4.713378999999999763e+01
7.012380000000000280e-01    4.820508000000000237e+01
7.736884000000000539e-01    4.927637000000000000e+01
8.504931000000000019e-01    5.034765999999999764e+01
9.306417000000000161e-01    5.141895000000000238e+01
1.018037000000000081e+00    5.249022999999999683e+01
1.099372000000000016e+00    5.356152000000000157e+01
1.186463999999999963e+00    5.463280999999999921e+01
1.274100000000000010e+00    5.570409999999999684e+01
1.358648000000000078e+00    5.677539000000000158e+01
1.435530999999999890e+00    5.784667999999999921e+01
1.508008999999999933e+00    5.891796999999999684e+01
1.569693999999999923e+00    5.998828000000000316e+01
1.633062999999999931e+00    6.105957000000000079e+01
1.697240000000000082e+00    6.213085999999999842e+01
1.752628000000000075e+00    6.320215000000000316e+01
1.806753999999999971e+00    6.427343999999999369e+01
1.858859000000000039e+00    6.534472999999999843e+01
1.898239999999999927e+00    6.641602000000000317e+01
1.927454999999999918e+00    6.748730000000000473e+01
1.958118999999999943e+00    6.855858999999999526e+01
1.962525999999999993e+00    6.962988000000000000e+01
1.956855000000000011e+00    7.070117000000000473e+01
1.935567999999999955e+00    7.177245999999999526e+01
1.929578000000000015e+00    7.284375000000000000e+01
1.907162999999999942e+00    7.391504000000000474e+01
1.891702999999999912e+00    7.498632999999999527e+01
1.896593999999999891e+00    7.605762000000000000e+01
1.888835999999999959e+00    7.712891000000000474e+01
1.869283999999999946e+00    7.820019999999999527e+01
1.871919000000000111e+00    7.927147999999999683e+01
1.863866000000000023e+00    8.034180000000000632e+01
1.856023999999999896e+00    8.141308999999999685e+01
1.844681000000000015e+00    8.248436999999999841e+01
1.829463000000000061e+00    8.355566000000000315e+01
1.812797999999999909e+00    8.462694999999999368e+01
1.786982999999999988e+00    8.569823999999999842e+01
1.762132000000000032e+00    8.676953000000000316e+01
1.734185000000000088e+00    8.784081999999999368e+01
1.703486999999999973e+00    8.891210999999999842e+01
1.670789000000000080e+00    8.998340000000000316e+01
1.645683000000000007e+00    9.105468999999999369e+01
1.608109000000000011e+00    9.212500000000000000e+01
1.571682999999999941e+00    9.319629000000000474e+01
1.537835999999999981e+00    9.426757999999999527e+01
1.502558000000000060e+00    9.533887000000000000e+01
1.457934999999999981e+00    9.641016000000000474e+01
1.406260000000000066e+00    9.748144999999999527e+01
1.367607000000000017e+00    9.855272999999999683e+01
1.325916000000000095e+00    9.962402000000000157e+01
1.293644999999999934e+00    1.006953000000000031e+02
1.249393999999999894e+00    1.017665999999999968e+02
1.196180000000000021e+00    1.028379000000000048e+02
1.115243999999999902e+00    1.039091999999999985e+02
1.014540999999999915e+00    1.049805000000000064e+02
9.440693999999999475e-01    1.060518000000000001e+02
8.664808000000000510e-01    1.071221000000000032e+02
8.043417999999999957e-01    1.081933999999999969e+02
7.542834000000000483e-01    1.092646000000000015e+02
6.856759999999999522e-01    1.103358999999999952e+02
6.377129000000000270e-01    1.114072000000000031e+02
5.914835000000000509e-01    1.124784999999999968e+02
5.349880000000000191e-01    1.135498000000000047e+02
4.930015999999999843e-01    1.146210999999999984e+02
4.467026000000000052e-01    1.156924000000000063e+02
3.843677999999999817e-01    1.167637000000000000e+02
3.271084000000000214e-01    1.178349999999999937e+02
2.806003000000000247e-01    1.189061999999999983e+02
2.368589999999999862e-01    1.199775000000000063e+02
1.947049999999999892e-01    1.210488000000000000e+02
1.474202000000000012e-01    1.221200999999999937e+02
9.261901999999999635e-02    1.231914000000000016e+02
5.126735999999999793e-02    1.242617000000000047e+02
-1.868757000000000057e-02    1.253329999999999984e+02
-6.248975999999999836e-02    1.264043000000000063e+02
-1.104091999999999990e-01    1.274756000000000000e+02
-1.653371999999999897e-01    1.285468999999999937e+02
-2.137937000000000032e-01    1.296182000000000016e+02
-2.806962000000000068e-01    1.306895000000000095e+02
-3.306355000000000266e-01    1.317607000000000141e+02
-3.938105000000000078e-01    1.328319999999999936e+02
-4.716720999999999830e-01    1.339033000000000015e+02
-5.581753999999999882e-01    1.349736000000000047e+02
-6.284813000000000205e-01    1.360449000000000126e+02
-6.972572000000000214e-01    1.371161999999999921e+02
-7.628445999999999838e-01    1.381875000000000000e+02
-8.145037000000000527e-01    1.392588000000000079e+02
-8.804766000000000536e-01    1.403300999999999874e+02
-9.495801000000000380e-01    1.414013999999999953e+02
-1.001284000000000063e+00    1.424727000000000032e+02
-1.058340999999999976e+00    1.435430000000000064e+02
-1.119537000000000004e+00    1.446142999999999859e+02
-1.165977000000000041e+00    1.456854999999999905e+02
-1.238950999999999913e+00    1.467567999999999984e+02
-1.303395000000000081e+00    1.478281000000000063e+02
-1.347852000000000050e+00    1.488994000000000142e+02
-1.401043000000000038e+00    1.499706999999999937e+02
-1.462015999999999982e+00    1.510420000000000016e+02
-1.513141999999999987e+00    1.521133000000000095e+02
-1.583474000000000048e+00    1.531845999999999890e+02
-1.649756999999999918e+00    1.542558999999999969e+02
-1.696137000000000006e+00    1.553271000000000015e+02
-1.765120000000000022e+00    1.563984000000000094e+02
-1.832335999999999965e+00    1.574696999999999889e+02
-1.920846000000000053e+00    1.585409999999999968e+02
