,time,pressure
0,10,0.0
1,20,0.0
2,30,702.68
3,40,702.58
4,50,702.69
5,60,702.63
6,70,702.51
7,80,702.63
8,90,702.55
9,100,702.47
10,110,702.59
11,120,702.53
12,130,702.41
13,140,702.6
14,150,702.57
15,160,702.53
16,170,702.7
17,180,702.61
18,190,702.65
19,200,702.44
20,210,702.52
21,220,702.66
22,230,702.61
23,240,702.71
24,250,702.61
25,260,702.58
26,270,702.71
27,280,702.6
28,290,702.69
29,300,702.56
30,310,702.73
31,320,702.62
32,330,702.81
33,340,702.64
34,350,702.68
35,360,702.54
36,370,702.63
37,380,702.7
38,390,702.75
39,400,702.64
40,410,702.68
41,420,702.81
42,430,702.54
43,440,702.43
44,450,702.67
45,460,702.67
46,470,702.46
47,480,702.62
48,490,702.62
49,500,702.57
50,510,702.54
51,520,702.5
52,530,702.52
53,540,702.59
54,550,702.4
55,560,702.61
56,570,702.73
57,580,702.59
58,590,702.52
59,600,702.46
60,610,702.62
61,620,702.52
62,630,702.65
63,640,702.4
64,650,702.41
65,660,702.54
66,670,707.23
67,680,723.66
68,690,741.3
69,700,758.48
70,710,777.27
71,720,777.78
72,730,702.44
73,740,702.66
74,750,702.6
75,760,702.48
76,770,704.03
77,780,714.16
78,790,724.73
79,800,734.88
80,810,744.02
81,820,754.14
82,830,766.41
83,840,702.56
84,850,702.56
85,860,702.47
86,870,702.51
87,880,702.6
88,890,702.38
89,900,702.44
90,910,702.56
91,920,702.51
92,930,702.46
93,940,702.51
94,950,702.49
95,960,702.54
96,970,702.68
97,980,702.54
98,990,702.6
99,1000,705.71
100,1010,702.54
101,1020,702.64
102,1030,702.61
103,1040,702.6
104,1050,702.62
105,1060,702.63
106,1070,702.47
107,1080,702.55
108,1090,702.48
109,1100,705.83
110,1110,709.54
111,1120,713.95
112,1130,718.74
113,1140,723.62
114,1150,727.6
115,1160,731.75
116,1170,734.58
117,1180,686.91
118,1190,702.54
119,1200,702.48
120,1210,702.52
121,1220,702.68
122,1230,702.7
123,1240,702.54
124,1250,702.53
125,1260,702.53
126,1270,702.51
127,1280,702.5
128,1290,702.55
129,1300,702.66
130,1310,702.59
131,1320,702.52
132,1330,702.51
133,1340,702.59
134,1350,702.38
135,1360,702.53
136,1370,702.67
137,1380,702.54
138,1390,702.46
139,1400,702.44
140,1410,702.65
141,1420,702.55
142,1430,702.56
143,1440,702.44
144,1450,702.56
145,1460,702.45
146,1470,702.68
147,1480,702.48
148,1490,702.58
149,1500,702.79
150,1510,702.82
151,1520,702.69
152,1530,702.7
153,1540,702.55
154,1550,702.55
155,1560,702.63
156,1570,702.59
157,1580,702.57
158,1590,702.54
